icao,name,lat,lon,elev_ft,type,country
EDBO,Oehna Airfield,51.89973,13.05281,287,small_airport,DE
EDBP,Pinnow Airfield,53.61528,11.56111,144,small_airport,DE
EDBQ,Bronkow Airfield,51.67207,13.9601,423,small_airport,DE
EDBR,Rothenburg/Görlitz Airfield,51.36333,14.95,515,medium_airport,DE
EDBS,Sömmerda-Dermsdorf Airfield,51.19841,11.19176,451,small_airport,DE
EDBT,Allstedt Airfield,51.38055,11.44667,932,small_airport,DE
EDBU,Pritzwalk-Sommersberg Airfield,53.18002,12.18455,289,small_airport,DE
EDBV,Stralsund Airfield,54.33584,13.04333,49,small_airport,DE
EDBW,Werneuchen Airfield,52.63167,13.76694,262,small_airport,DE
EDBX,Görlitz Airfield,51.15889,14.95028,778,small_airport,DE
EDBY,Schmoldow Airfield,53.97276,13.34338,105,small_airport,DE
EDBZ,Schwarzheide/Schipkau Airfield,51.49193,13.87937,331,small_airport,DE
EDCA,Anklam Otto Lilienthal Airfield,53.8328,13.66861,16,small_airport,DE
EDCB,Ballenstedt Airfield,51.74583,11.22972,535,small_airport,DE
EDCE,Müncheberg-Eggersdorf Airfield,52.48279,14.09074,223,small_airport,DE
EDCG,Rügen Airport,54.38347,13.32554,69,small_airport,DE
EDCH,Sprossen (Zeitz) Airfield,51.04341,12.23189,673,small_airport,DE
EDCI,Klix Airfield,51.27182,14.50571,486,small_airport,DE
EDCJ,Chemnitz/Jahnsdorf Airfield,50.7475,12.8375,1198,small_airport,DE
EDCK,Köthen Airport,51.72375,11.94883,305,small_airport,DE
EDCL,Klietz-Scharlibbe Airfield,52.70944,12.07333,95,small_airport,DE
EDCM,Kamenz Airfield,51.29694,14.1275,495,small_airport,DE
EDCO,Obermehler-Schlotheim Airfield,51.26778,10.63472,909,small_airport,DE
EDCP,Peenemünde Airport,54.15778,13.77444,7,small_airport,DE
EDCQ,Aschersleben Airfield,51.76694,11.49833,525,small_airport,DE
EDCR,Rerik-Zweedorf Airfield,54.08194,11.64917,30,small_airport,DE
EDCS,Saarmund Airfield,52.30833,13.10056,174,small_airport,DE
EDCT,Taucha Airfield,51.395,12.53694,492,small_airport,DE
EDCU,Güstrow Airfield,53.80528,12.23056,46,small_airport,DE
EDCV,Pasewalk Airfield,53.50528,13.94833,72,small_airport,DE
EDCW,Wismar Airfield,53.91444,11.49944,43,small_airport,DE
EDCX,Purkshof Airfield,54.16167,12.24861,66,small_airport,DE
EDCY,Spremberg-Welzow Airfield,51.57556,14.13694,375,small_airport,DE
EDDB,Berlin Brandenburg Airport,52.36174,13.50234,157,large_airport,DE
EDDC,Dresden Airport,51.13412,13.76783,755,large_airport,DE
EDDE,Erfurt-Weimar Airport,50.97828,10.96071,1036,large_airport,DE
EDDF,Frankfurt Main Airport,50.02671,8.55835,364,large_airport,DE
EDDG,Münster Osnabrück Airport,52.13382,7.68848,160,large_airport,DE
EDDH,Hamburg Helmut Schmidt Airport,53.6304,9.98823,53,large_airport,DE
EDDK,Cologne Bonn Airport,50.8659,7.14274,302,large_airport,DE
EDDL,Düsseldorf Airport,51.2895,6.76678,147,large_airport,DE
EDDM,Munich Airport,48.3538,11.7861,1487,large_airport,DE
EDDN,Nuremberg Airport,49.4987,11.07806,1046,large_airport,DE
EDDP,Leipzig/Halle Airport,51.42066,12.2327,465,large_airport,DE
EDDR,Saarbrücken Airport,49.21455,7.10973,1058,medium_airport,DE
EDDS,Stuttgart Airport,48.6899,9.22196,1276,large_airport,DE
EDDV,Hannover Airport,52.4611,9.68508,183,large_airport,DE
EDDW,Bremen Airport,53.04679,8.78932,14,large_airport,DE
EDEB,Bad Langensalza Airfield,51.12917,10.62222,650,small_airport,DE
EDEG,Gotha-Ost Airfield,50.97,10.72778,991,small_airport,DE
EDEH,Herrenteich Airfield,49.345,8.48778,308,small_airport,DE
EDEL,Langenlonsheim Airfield,49.90833,7.90778,295,small_airport,DE
EDEM,Mosenberg Airfeld,51.06275,9.42201,1296,small_airport,DE
EDEN,Bad Hersfeld Airfield,50.84405,9.70722,,small_airport,DE
EDEP,Heppenheim Glider Field,49.62194,8.62444,361,small_airport,DE
EDEQ,Mühlhausen Airfield,51.21305,10.54861,814,small_airport,DE
EDER,Wasserkuppe Airfield,50.49881,9.95417,2956,small_airport,DE
EDES,August Euler Airfield,49.85376,8.58624,358,small_airport,DE
EDEW,Walldürn Airfield,49.58167,9.40222,1312,small_airport,DE
EDFA,Anspach-Taunus Airfield,50.28833,8.53389,1102,small_airport,DE
EDFB,Reichelsheim Airfield,50.33797,8.87898,397,small_airport,DE
EDFC,Aschaffenburg Airfield,49.93881,9.06278,410,small_airport,DE
EDFD,Bad Neustadt/Saale-Grasberg Airfield,50.30606,10.22728,997,small_airport,DE
EDFE,Frankfurt-Egelsbach Airport,49.96,8.64304,384,medium_airport,DE
EDFG,Gelnhausen Airfield,50.19674,9.16706,446,small_airport,DE
EDFH,Frankfurt-Hahn Airport,49.94635,7.26173,1649,large_airport,DE
EDFI,Hirzenhain Airfield,50.78778,8.39278,1706,small_airport,DE
EDFJ,Lager Hammelburg Airfield,50.09852,9.8839,1132,small_airport,DE
EDFK,Bad Kissingen Airfield,50.21056,10.06889,653,small_airport,DE
