icao,name,lat,lon,elev_ft,type,country
EDRA,Bad Neuenahr-Ahrweiler Airfield,50.55778,7.13714,673,small_airport,DE
EDRB,Bitburg Airport,49.94528,6.565,1220,small_airport,DE
EDRC,Marpingen Glider Airfield,49.453,7.039,1155,small_airport,DE
EDRD,Neumagen-Dhron Airfield,49.84306,6.91611,879,small_airport,DE
EDRE,Mendig Airfield,50.366,7.31533,597,small_airport,DE
EDRF,Bad Dürkheim Airfield,49.4728,8.19574,351,small_airport,DE
EDRG,Idar-Oberstein/Göttschied Airfield,49.73222,7.33611,1575,small_airport,DE
EDRH,Hoppstädten-Weiersbach Airfield,49.61056,7.18667,1093,small_airport,DE
EDRI,Linkenheim Airfield,49.14167,8.39472,325,small_airport,DE
EDRJ,Saarlouis-Düren Airfield,49.3125,6.67444,1119,small_airport,DE
EDRK,Koblenz-Winningen Airfield,50.32556,7.52861,640,small_airport,DE
EDRL,Flugplatz Lachen-Speyerdorf,49.33083,8.20972,394,small_airport,DE
EDRM,Traben-Trarbach/Mont Royal Airfield,49.96778,7.11194,919,small_airport,DE
EDRN,Nannhausen Airfield,49.96992,7.47836,1224,small_airport,DE
EDRO,Schweighofen Airfield,49.03188,7.99051,492,small_airport,DE
EDRP,Pirmasens-Pottschütthöhe Airfield,49.26444,7.48833,1247,small_airport,DE
EDRQ,Imsweiler UL,49.60654,7.79559,950,small_airport,DE
EDRS,Bad Sobernheim-Domberg Airfield,49.79083,7.66611,810,small_airport,DE
EDRT,Trier-Föhren Airfield,49.86389,6.7875,666,small_airport,DE
EDRV,Wershofen/Eifel Airfield,50.4519,6.78409,1581,small_airport,DE
EDRW,Dierdorf-Wienau Airfield,50.56611,7.65333,951,small_airport,DE
EDRX,Bexbach Glider Field,49.34,7.25333,,small_airport,DE
EDRY,Speyer Airfield,49.30472,8.45139,312,small_airport,DE
EDRZ,Zweibrücken Airport,49.2094,7.40056,1132,small_airport,DE
EDSA,Albstadt-Degerfeld Airfield,48.24972,9.0625,2881,small_airport,DE
EDSB,Karlsruhe Baden-Baden Airport,48.7794,8.0805,408,large_airport,DE
EDSD,Deckenpfronn-Egelsee Airfield,48.6385,8.8175,1895,small_airport,DE
EDSE,Göppingen-Bezgenriet Airfield,48.65861,9.62417,,small_airport,DE
EDSF,Hütten Glider Field,47.6333,7.9412,2885,small_airport,DE
EDSG,Grabenstetten Airfield,48.53611,9.43694,2329,small_airport,DE
EDSH,Backnang-Heiningen Airfield,48.91972,9.45528,965,small_airport,DE
EDSI,Binningen Glider Field,47.79877,8.71855,1594,small_airport,DE
EDSK,Kehl-Sundheim Airfield,48.56111,7.84333,453,small_airport,DE
EDSL,Blumberg Airfield,47.84368,8.56434,2290,small_airport,DE
EDSM,Müllheim Airfield,47.82432,7.63948,955,small_airport,DE
EDSN,Neuhausen ob Eck Airfield,47.97666,8.90389,2638,small_airport,DE
EDSO,Gruibingen-Nortel Airfield,48.6212,9.6557,2318,small_airport,DE
EDSP,Poltringen Airfield,48.54728,8.94592,1315,small_airport,DE
EDSR,Radolfzell-Stahlringen Airfield,47.80259,8.97938,,small_airport,DE
EDST,Hahnweide Airfield,48.63184,9.4292,1146,small_airport,DE
EDSV,Wächtersberg-Hub Glider Airfield,48.61493,8.75546,1965,small_airport,DE
EDSW,Altdorf-Wallburg Airfield,48.26988,7.84194,623,small_airport,DE
EDSX,Völkleshofen-Lichtenberg Airfield,49.00933,9.3546,1301,small_airport,DE
EDSZ,Rottweil-Zepfenhan Airfield,48.1866,8.7228,2444,small_airport,DE
EDTA,Bohlhof Glider Field,47.6509,8.3867,1885,small_airport,DE
EDTB,Baden-Oos Airfield,48.79194,8.18583,404,small_airport,DE
EDTC,Bruchsal Airfield,49.13484,8.56412,,small_airport,DE
EDTD,Donaueschingen-Villingen Airfield,47.97333,8.52222,2231,medium_airport,DE
EDTE,Eutingen Airfield,48.48544,8.77803,1640,small_airport,DE
EDTF,Freiburg im Breisgau Airfield,48.02278,7.8325,801,small_airport,DE
EDTG,Bremgarten Airfield,47.90319,7.61742,696,small_airport,DE
EDTH,Heubach Airfield,48.803,9.92771,1424,small_airport,DE
EDTK,Sinsheim Airfield,49.2472,8.8938,519,small_airport,DE
EDTL,Lahr Airport,48.3693,7.82772,511,medium_airport,DE
EDTM,Mengen-Hohentengen Airfield,48.05389,9.37278,1818,medium_airport,DE
EDTN,Nabern-Teck Airfield,48.61278,9.47722,1214,small_airport,DE
EDTO,Offenburg-Baden Airfield,48.44813,7.92356,509,small_airport,DE
EDTP,Pfullendorf Airfield,47.90889,9.25056,2303,small_airport,DE
EDTQ,Pattonville Airfield,48.86417,9.22472,920,small_airport,DE
EDTR,Herten-Rheinfelden Airfield,47.56028,7.74833,925,small_airport,DE
EDTS,Schwenningen am Neckar Airfield,48.06583,8.57139,2169,small_airport,DE
EDTU,Bad Saulgau Airfield,48.02945,9.50722,1903,small_airport,DE
EDTW,Winzeln-Schramberg Airfield,48.27917,8.42833,2310,small_airport,DE
EDTX,Schwäbisch Hall-Weckrieden Airfield,49.12444,9.78111,1299,small_airport,DE
EDTY,Adolf Würth Airport,49.11833,9.78389,1299,medium_airport,DE
EDTZ,Konstanz Airfield,47.68144,9.13926,1302,small_airport,DE
EDUA,Flugplatz Stechow-Ferchesar,52.65055,12.48778,148,small_airport,DE
EDUF,Falkenberg-Lönnewitz Airfield,51.54778,13.22806,312,small_airport,DE
EDUG,Gransee Airfield,53.00628,13.20218,164,small_airport,DE
EDUO,Oberrißdorf Airfield,51.5429,11.59524,738,small_airport,DE
EDUP,Perleberg Glider Field,53.07046,11.81867,91,small_airport,DE
EDUW,Tutow-Betriebs Airfield,53.91773,13.22026,26,small_airport,DE
EDUZ,Zerbst Airfield,52.00083,12.14861,289,medium_airport,DE
EDVA,Bad Gandersheim Airfield,51.85417,10.02556,791,small_airport,DE
EDVC,Celle-Arloh Airfield,52.68816,10.11278,207,small_airport,DE
EDVD,Uslar Airfield,51.6619,9.6044,850,small_airport,DE
EDVE,Braunschweig-Wolfsburg Airport,52.3192,10.5561,295,medium_airport,DE
EDVF,Blomberg-Borkhausen Airfield,51.91722,9.11167,535,small_airport,DE
EDVG,Mengeringhausen Airfield,51.37639,8.98111,1190,small_airport,DE
EDVH,Hodenhagen Airfield,52.76187,9.61056,79,small_airport,DE
EDVI,Höxter-Holzminden Airfield,51.80667,9.37833,934,small_airport,DE
EDVJ,Salzgitter-Schäferstuhl Airfield,52.03068,10.36247,741,small_airport,DE
EDVK,Kassel Airport,51.41839,9.39164,820,large_airport,DE
EDVL,Hölleberg Airfield,51.61088,9.39837,837,small_airport,DE
EDVM,Hildesheim Airfield,52.17982,9.9458,292,small_airport,DE
EDVN,Northeim Airfield,51.70639,10.03972,404,small_airport,DE
EDVP,Peine-Glindbruchkippe Airfield,52.3238,10.1815,246,small_airport,DE
EDVQ,Wilsche Glider Field,52.52468,10.4626,191,small_airport,DE
EDVR,Rinteln Airfield,52.17528,9.05333,180,small_airport,DE
EDVT,Ithwiesen Airfield,51.952,9.662,1264,small_airport,DE
EDVU,Uelzen Airfield,52.9837,10.46542,246,small_airport,DE
EDVW,Bad Pyrmont Airfield,51.96667,9.29167,1178,small_airport,DE
EDVY,Porta Westfalica Airfield,52.22137,8.85976,148,small_airport,DE
EDWC,Damme Airfield,52.48756,8.18515,151,small_airport,DE
EDWE,Emden Airport,53.39111,7.2275,3,small_airport,DE
EDWF,Flugplatz Leer-Papenburg,53.27194,7.44167,3,small_airport,DE
EDWG,Wangerooge Airport,53.78254,7.91958,7,small_airport,DE
EDWH,Oldenburg-Hatten Airfield,53.06889,8.31361,26,small_airport,DE
EDWI,JadeWeser Airport,53.50222,8.05222,19,small_airport,DE
EDWJ,Juist Airport,53.68142,7.0564,7,small_airport,DE
EDWK,Karlshöfen Airfield,53.33278,9.02833,20,small_airport,DE
EDWL,Langeoog Airport,53.74238,7.49634,7,small_airport,DE
EDWM,Weser-Wümme Airfield,53.05389,9.20861,59,small_airport,DE
EDWN,Nordhorn-Lingen Airfield,52.4575,7.18222,89,small_airport,DE
EDWO,Atterheide Airfield,52.28639,7.96972,287,small_airport,DE
EDWP,Wiefelstede-Conneforde Airfield,53.32139,8.07333,33,small_airport,DE
EDWQ,Ganderkesee Atlas Airfield,53.03611,8.50556,95,small_airport,DE
EDWR,Borkum Airport,53.59639,6.70917,3,small_airport,DE
EDWS,Norden-Norddeich Airport,53.63306,7.19028,3,small_airport,DE
EDWT,Blexen Airfield,53.5383,8.5388,10,small_airport,DE
EDWU,Varrelbusch Airfield,52.90833,8.04056,128,small_airport,DE
EDWV,Verden-Scharnhorst Airfield,52.96528,9.28278,144,small_airport,DE
EDWX,Westerstede-Felde Airfield,53.28861,7.93056,30,small_airport,DE
EDWY,Norderney Airport,53.70694,7.23,7,small_airport,DE
EDWZ,Baltrum Airport,53.72485,7.37326,7,small_airport,DE
EDXA,Flugplatz Achmer,52.37722,7.91333,177,small_airport,DE
EDXB,Heide-Büsum Airport,54.15333,8.90167,7,small_airport,DE
EDXC,Schleswig-Kropp Airfield,54.4255,9.54188,52,small_airport,DE
EDXD,Bohmte-Bad Essen Airfield,52.35139,8.32833,148,small_airport,DE
EDXE,Rheine-Eschendorf Airfield,52.27639,7.49278,131,small_airport,DE
EDXF,Flensburg-Schäferhaus Airport,54.77334,9.37889,131,small_airport,DE
EDXG,Melle-Grönegau Airfield,52.20083,8.38056,236,small_airport,DE
EDXH,Helgoland-Düne Airport,54.18528,7.91583,8,small_airport,DE
EDXI,Nienburg-Holzbalge Airfield,52.70972,9.1625,82,small_airport,DE
EDXJ,Husum-Schwesing Airport,54.51,9.13833,62,small_airport,DE
EDXK,Leck Airfield,54.79091,8.96344,23,small_airport,DE
EDXL,Barßel Airfield,53.16444,7.79389,10,small_airport,DE
EDXM,Sankt Michaelisdonn Airfield,53.97826,9.14521,125,small_airport,DE
EDXN,Nordholz-Spieka Airfield,53.76722,8.64361,72,small_airport,DE
EDXO,Sankt Peter-Ording Airport,54.30889,8.68694,7,small_airport,DE
EDXP,Harle Airfield,53.70667,7.82028,7,small_airport,DE
EDXQ,Rotenburg (Wümme) Airfield,53.12833,9.34861,98,small_airport,DE
EDXR,Rendsburg-Schachtholm Airfield,54.22,9.59944,23,small_airport,DE
EDXS,Seedorf Airfield,53.33556,9.25944,72,small_airport,DE
EDXT,Sierksdorf/Hof Altona Airfield,54.06674,10.74218,79,small_airport,DE
EDXU,Hüttenbusch Airfield,53.28667,8.94722,10,small_airport,DE
EDXW,Westerland Sylt Airport,54.9132,8.34047,51,medium_airport,DE
EDXY,Wyk auf Föhr Airport,54.68444,8.52833,26,small_airport,DE
EDXZ,Kührstedt-Bederkesa Airfield,53.56805,8.78944,26,small_airport,DE
EHAL,Ameland Airport Ballum,53.45361,5.6784,11,small_airport,NL
EHAM,Amsterdam Airport Schiphol,52.3086,4.76389,-11,large_airport,NL
EHBD,Kempen Airport Budel,51.2553,5.60139,114,medium_airport,NL
EHBK,Maastricht Aachen Airport,50.91109,5.7694,375,large_airport,NL
EHDL,Deelen Air Base,52.0606,5.87306,158,medium_airport,NL
EHDR,Drachten Airfield,53.11793,6.12732,14,small_airport,NL
EHEH,Eindhoven Airport,51.4501,5.37453,74,large_airport,NL
EHGG,Groningen Airport Eelde,53.11911,6.57765,17,large_airport,NL
EHGR,Gilze Rijen Air Base,51.5674,4.93183,49,medium_airport,NL
EHHO,Hoogeveen Airfield,52.7308,6.51611,40,small_airport,NL
EHHV,Hilversum Airfield,52.1919,5.14694,3,small_airport,NL
EHKD,De Kooy Airfield / Den Helder Naval Air Station,52.9234,4.78062,3,medium_airport,NL
EHLE,Lelystad Airport,52.45319,5.51462,-13,medium_airport,NL
EHLV,Langeveld Glidersite,52.29739,4.51196,10,small_airport,NL
EHLW,Leeuwarden Air Base,53.2286,5.76056,3,medium_airport,NL
EHMM,Middenmeer Airfield,52.81488,5.02125,-14,small_airport,NL
EHMZ,Midden-Zeeland Airfield,51.5122,3.73111,6,small_airport,NL
EHOW,Oostwold Airfield,53.20878,7.03305,1,small_airport,NL
EHRD,Rotterdam The Hague Airport,51.9569,4.43722,-15,large_airport,NL
EHSE,Breda International Airport,51.5549,4.553,30,small_airport,NL
EHST,Stadskanaal Airfield,52.9986,7.02278,14,small_airport,NL
EHTE,Teuge Airport,52.24276,6.05,17,small_airport,NL
EHTL,Terlet Glidersite,52.0572,5.92444,276,small_airport,NL
EHTW,Twente Airport,52.27583,6.88917,114,medium_airport,NL
EHTX,Texel International Airport,53.11496,4.83055,2,small_airport,NL
EHVK,Volkel Air Base,51.65722,5.70778,72,medium_airport,NL
EHWO,Woensdrecht Air Base,51.4491,4.34203,63,medium_airport,NL
ELLX,Luxembourg-Findel International Airport,49.62685,6.21213,1234,large_airport,LU
ELNT,Wiltz-Noertrange Airfield,49.9811,5.91778,1522,small_airport,LU
ELUS,Useldange Glider Field,49.76816,5.96596,928,small_airport,LU
ETAD,Spangdahlem Air Base,49.97651,6.69841,1197,medium_airport,DE
ETAR,Ramstein Air Base,49.4369,7.60028,776,medium_airport,DE
ETHA,Altenstadt Army Airfield,47.8355,10.8712,2425,small_airport,DE
ETHB,Bückeburg Air Base,52.2785,9.08217,230,medium_airport,DE
ETHC,Celle Army Airfield,52.5912,10.0221,129,medium_airport,DE
ETHE,Rheine-Bentlage Airfield,52.2912,7.387,129,small_airport,DE
ETHF,Fritzlar Army Airfield,51.1146,9.286,565,medium_airport,DE
ETHL,Laupheim Air Base,48.2203,9.91002,1766,medium_airport,DE
ETHN,Niederstetten Army Air Base,49.39162,9.95675,1536,medium_airport,DE
ETHS,Faßberg Air Base,52.9194,10.18583,245,medium_airport,DE
ETIC,Grafenwöhr Army Air Field,49.6987,11.9402,1363,medium_airport,DE
ETIH,Hohenfels Army Airfield,49.21654,11.83606,1455,medium_airport,DE
ETMN,Sea-Airport Cuxhaven/Nordholz / Nordholz Naval Airbase,53.76769,8.6592,74,medium_airport,DE
ETND,Diepholz Air Base,52.58556,8.34222,128,medium_airport,DE
ETNG,Geilenkirchen Air Base,50.9608,6.04242,296,medium_airport,DE
ETNH,Hohn Air Base,54.3122,9.53817,39,medium_airport,DE
ETNL,Rostock-Laage Airport,53.9182,12.2783,138,medium_airport,DE
ETNN,Nörvenich Air Base,50.8312,6.65817,386,medium_airport,DE
ETNS,Schleswig Air Base,54.4593,9.51633,70,medium_airport,DE
ETNT,Wittmundhafen Air Base,53.5478,7.66733,26,medium_airport,DE
ETNW,Wunstorf Air Base,52.4573,9.42717,187,medium_airport,DE
ETOI,Vilseck Army Air Field,49.63408,11.7675,1353,small_airport,DE
ETOU,Wiesbaden Army Airfield,50.0498,8.3254,461,medium_airport,DE
ETSB,Büchel Air Base,50.1738,7.06333,1568,medium_airport,DE
ETSH,Holzdorf Air Base,51.7678,13.1677,265,medium_airport,DE
ETSI,Ingolstadt Manching Airport,48.7157,11.534,1202,medium_airport,DE
ETSL,Lechfeld Air Base,48.1855,10.8612,1822,medium_airport,DE
ETSN,Neuburg Air Base,48.711,11.2115,1249,medium_airport,DE
ETSR,Roth Airfield,49.2175,11.1002,1268,small_airport,DE
ETT1,Etting-Adelmannsberg Glider Field,48.81028,11.42096,1253,small_airport,DE
ETWM,Meppen Air Base,52.7232,7.32633,,small_airport,DE
